name,wiki_link,img_link,cathegory
Barbecue,https://en.wikipedia.org/wiki/Barbecue,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Barbecue_pit.jpg/480px-Barbecue_pit.jpg,Earth Ovens
Hāngī,https://en.wikipedia.org/wiki/H%C4%81ng%C4%AB,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Hangi_prepare.jpg/480px-Hangi_prepare.jpg,Earth Ovens
Huatia,https://en.wikipedia.org/wiki/Huatia,https://upload.wikimedia.org/wikipedia/commons/b/b3/Horno_de_k%27urpas_para_wathia.jpg,Earth Ovens
Kalua,https://en.wikipedia.org/wiki/Kalua,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Roasted_puaa.jpg/480px-Roasted_puaa.jpg,Earth Ovens
Pachamanca,https://en.wikipedia.org/wiki/Pachamanca,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Pachamanca_Peru.JPG/480px-Pachamanca_Peru.JPG,Earth Ovens
AGA cooker,https://en.wikipedia.org/wiki/AGA_cooker,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/AGA%2C_Cooker%2C_Ireland_-_August_2014.jpg/480px-AGA%2C_Cooker%2C_Ireland_-_August_2014.jpg,Baking Ovens
Bachelor griller,https://en.wikipedia.org/wiki/Bachelor_griller,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bachelor_Griller.JPG/480px-Bachelor_Griller.JPG,Baking Ovens
Beehive oven,https://en.wikipedia.org/wiki/Beehive_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Cochran_Coke_Ovens_-_Image01_-_2009-03-19.JPG/480px-Cochran_Coke_Ovens_-_Image01_-_2009-03-19.JPG,Baking Ovens
Chorkor oven,https://en.wikipedia.org/wiki/Chorkor_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Clome oven,https://en.wikipedia.org/wiki/Clome_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Clome_oven.JPG/480px-Clome_oven.JPG,Baking Ovens
Communal oven,https://en.wikipedia.org/wiki/Communal_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Urval_-_Four_banal_-1.JPG/480px-Urval_-_Four_banal_-1.JPG,Baking Ovens
Convection microwave,https://en.wikipedia.org/wiki/Convection_microwave,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/TW_Panasonic_NN-SV30_2012-01.jpg/480px-TW_Panasonic_NN-SV30_2012-01.jpg,Baking Ovens
Convection oven,https://en.wikipedia.org/wiki/Convection_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Impingementoven.JPG/480px-Impingementoven.JPG,Baking Ovens
Cooker,https://en.wikipedia.org/wiki/Cooker,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Cooker.jpg/480px-Cooker.jpg,Baking Ovens
Dutch oven,https://en.wikipedia.org/wiki/Dutch_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Dutch_Oven_-McClures_Magazine.jpg/480px-Dutch_Oven_-McClures_Magazine.jpg,Baking Ovens
Easy-Bake Oven,https://en.wikipedia.org/wiki/Easy-Bake_Oven,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Father_and_daughter_w_Easy_Bake_Oven.jpg/480px-Father_and_daughter_w_Easy_Bake_Oven.jpg,Baking Ovens
Egyptian egg oven,https://en.wikipedia.org/wiki/Egyptian_egg_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Egyptian_Egg-oven.jpg/480px-Egyptian_Egg-oven.jpg,Baking Ovens
Halogen oven,https://en.wikipedia.org/wiki/Halogen_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/HK_Causeway_Bay_SOGO_East_Point_Centre_%E5%BE%B7%E5%9C%8B%E5%AF%B6%E5%85%89%E6%B3%A2%E7%88%90_German_Pool_Halogen_Cooking_Pot_Aug-2012.JPG/480px-HK_Causeway_Bay_SOGO_East_Point_Centre_%E5%BE%B7%E5%9C%8B%E5%AF%B6%E5%85%89%E6%B3%A2%E7%88%90_German_Pool_Halogen_Cooking_Pot_Aug-2012.JPG,Baking Ovens
Haybox,https://en.wikipedia.org/wiki/Haybox,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kochkiste-1.jpg/480px-Kochkiste-1.jpg,Baking Ovens
Horno,https://en.wikipedia.org/wiki/Horno,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/A_Horno_%28an_adobe_oven%29_at_Taos_Pueblo_in_New_Mexico_in_2003.jpg/480px-A_Horno_%28an_adobe_oven%29_at_Taos_Pueblo_in_New_Mexico_in_2003.jpg,Baking Ovens
Hot Box (appliance),https://en.wikipedia.org/wiki/Hot_Box_(appliance),https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Hot_Box_door_open_with_flash.JPG/480px-Hot_Box_door_open_with_flash.JPG,Baking Ovens
Kitchen stove,https://en.wikipedia.org/wiki/Kitchen_stove,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Iron_stove.jpg/480px-Iron_stove.jpg,Baking Ovens
Kitchener range,https://en.wikipedia.org/wiki/Kitchener_range,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Masonry oven,https://en.wikipedia.org/wiki/Masonry_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Pizza-oven.jpg/480px-Pizza-oven.jpg,Baking Ovens
Kyoto box,https://en.wikipedia.org/wiki/Kyoto_box,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Microwave oven,https://en.wikipedia.org/wiki/Microwave_oven,https://upload.wikimedia.org/wikipedia/commons/c/c9/-125wiki.jpg,Baking Ovens
Reflector oven,https://en.wikipedia.org/wiki/Reflector_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Reflector_Oven_01.jpg/480px-Reflector_Oven_01.jpg,Baking Ovens
Rotimatic,https://en.wikipedia.org/wiki/Rotimatic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Russian oven,https://en.wikipedia.org/wiki/Russian_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Belarus-SMFAL-Stove.jpg/480px-Belarus-SMFAL-Stove.jpg,Baking Ovens
Self-cleaning oven,https://en.wikipedia.org/wiki/Self-cleaning_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Solar cooker,https://en.wikipedia.org/wiki/Solar_cooker,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Solar_funnel_cooker_with_hot_dogs.jpg/480px-Solar_funnel_cooker_with_hot_dogs.jpg,Baking Ovens
Roaster oven,No link available,https://upload.wikimedia.org/wikipedia/commons/0/0f/Black_%26_Decker_toaster_oven.jpg,Baking Ovens
Tabun oven,https://en.wikipedia.org/wiki/Tabun_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tabun_-_2.jpg/480px-Tabun_-_2.jpg,Baking Ovens
Tandoor,https://en.wikipedia.org/wiki/Tandoor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Clay_Pots.jpg/480px-Clay_Pots.jpg,Baking Ovens
Tannur,https://en.wikipedia.org/wiki/Primitive_clay_oven#Tannour_/_Tannur,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Broodoven.jpg/480px-Broodoven.jpg,Baking Ovens
Toaster and toaster oven,https://en.wikipedia.org/wiki/Toaster,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Toaster.jpg/480px-Toaster.jpg,Baking Ovens
Trivection oven,https://en.wikipedia.org/wiki/Trivection_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Baking Ovens
Wood-fired oven,https://en.wikipedia.org/wiki/Wood-fired_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Fernbrake.jpg/480px-Fernbrake.jpg,Baking Ovens
Batch oven,https://en.wikipedia.org/wiki/Batch_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Industrial Ovens
Burn-in ovens,https://en.wikipedia.org/wiki/Burn-in_ovens,https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg,Industrial Ovens
Clean process oven,https://en.wikipedia.org/wiki/Clean_process_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Industrial Ovens
Flame broiler,https://en.wikipedia.org/wiki/Flame_broiler,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Industrial_oven.jpg/480px-Industrial_oven.jpg,Industrial Ovens
Industrial oven,https://en.wikipedia.org/wiki/Industrial_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Industrial_oven.jpg/480px-Industrial_oven.jpg,Industrial Ovens
Reach-in oven,https://en.wikipedia.org/wiki/Reach-in_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Industrial Ovens
Walk-in/Truck-in ovens,https://en.wikipedia.org/wiki/Walk-in/Truck-in_ovens,https://upload.wikimedia.org/wikipedia/commons/6/67/Double_oven.jpg,Industrial Ovens
Spiral ovens,https://en.wikipedia.org/w/index.php?title=Spiral_ovens&action=edit&redlink=1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Factory.svg/502px-Factory.svg.png,Industrial Ovens
Anagama kiln,https://en.wikipedia.org/wiki/Anagama_kiln,https://upload.wikimedia.org/wikipedia/commons/c/c5/Anagama_kiln.svg,Kilns
Charcoal kiln,https://en.wikipedia.org/wiki/Charcoal_kiln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Charcoal_Kilns_near_Leadore.jpg/480px-Charcoal_Kilns_near_Leadore.jpg,Kilns
Bottle oven,https://en.wikipedia.org/wiki/Bottle_oven,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Bottle_oven%2C_Minkstone_Works%2C_Longton_-_geograph.org.uk_-_671863.jpg/480px-Bottle_oven%2C_Minkstone_Works%2C_Longton_-_geograph.org.uk_-_671863.jpg,Kilns
Brick clamp,https://en.wikipedia.org/wiki/Brick_clamp,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/India_-_Sights_%26_Culture_-_Rural_Brick_Making_Kiln_02_%284040024973%29.jpg/480px-India_-_Sights_%26_Culture_-_Rural_Brick_Making_Kiln_02_%284040024973%29.jpg,Kilns
Cement kiln,https://en.wikipedia.org/wiki/Cement_kiln,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/KilnBZ.JPG/480px-KilnBZ.JPG,Kilns
Lime kiln,https://en.wikipedia.org/wiki/Lime_kiln,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Lime_plant%2C_Wyoming.jpg/480px-Lime_plant%2C_Wyoming.jpg,Kilns
Rotary kiln,https://en.wikipedia.org/wiki/Rotary_kiln,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/RTC890_1725.jpg/480px-RTC890_1725.jpg,Kilns
Top-lit updraft gasifier,https://en.wikipedia.org/wiki/Top-lit_updraft_gasifier,https://upload.wikimedia.org/wikipedia/commons/4/43/Biochar_sample_size.jpg,Kilns
Tube furnace,https://en.wikipedia.org/wiki/Tube_furnace,https://upload.wikimedia.org/wikipedia/commons/0/01/Horno_tubular.jpg,Kilns
